,label,model,nFeatures,truePos,trueNeg,falsePos,falseNeg,testIndex
0,gad,NB,1,1,0,0,0,0
1,gad,LR1,1,1,0,0,0,0
2,gad,SVC1,1,1,0,0,0,0
3,gad,kNN5,1,1,0,0,0,0
4,gad,RF,1,0,0,0,1,0
5,gad,XG,1,0,0,0,1,0
6,gad,NB,2,1,0,0,0,0
7,gad,LR1,2,1,0,0,0,0
8,gad,SVC1,2,1,0,0,0,0
9,gad,kNN5,2,0,0,0,1,0
10,gad,RF,2,0,0,0,1,0
11,gad,XG,2,0,0,0,1,0
12,gad,NB,3,1,0,0,0,0
13,gad,LR1,3,1,0,0,0,0
14,gad,SVC1,3,1,0,0,0,0
15,gad,kNN5,3,1,0,0,0,0
16,gad,RF,3,1,0,0,0,0
17,gad,XG,3,0,0,0,1,0
18,gad,NB,4,1,0,0,0,0
19,gad,LR1,4,1,0,0,0,0
20,gad,SVC1,4,1,0,0,0,0
21,gad,kNN5,4,1,0,0,0,0
22,gad,RF,4,1,0,0,0,0
23,gad,XG,4,1,0,0,0,0
24,gad,NB,5,1,0,0,0,0
25,gad,LR1,5,1,0,0,0,0
26,gad,SVC1,5,1,0,0,0,0
27,gad,kNN5,5,1,0,0,0,0
28,gad,RF,5,1,0,0,0,0
29,gad,XG,5,1,0,0,0,0
30,gad,NB,6,1,0,0,0,0
31,gad,LR1,6,1,0,0,0,0
32,gad,SVC1,6,1,0,0,0,0
33,gad,kNN5,6,0,0,0,1,0
34,gad,RF,6,1,0,0,0,0
35,gad,XG,6,1,0,0,0,0
36,gad,NB,7,1,0,0,0,0
37,gad,LR1,7,1,0,0,0,0
38,gad,SVC1,7,1,0,0,0,0
39,gad,kNN5,7,1,0,0,0,0
40,gad,RF,7,1,0,0,0,0
41,gad,XG,7,1,0,0,0,0
42,gad,NB,8,1,0,0,0,0
43,gad,LR1,8,1,0,0,0,0
44,gad,SVC1,8,1,0,0,0,0
45,gad,kNN5,8,1,0,0,0,0
46,gad,RF,8,1,0,0,0,0
47,gad,XG,8,1,0,0,0,0
48,gad,NB,1,0,0,1,0,1
49,gad,LR1,1,0,0,1,0,1
50,gad,SVC1,1,0,0,1,0,1
51,gad,kNN5,1,0,0,1,0,1
52,gad,RF,1,0,1,0,0,1
53,gad,XG,1,0,1,0,0,1
54,gad,NB,2,0,0,1,0,1
55,gad,LR1,2,0,0,1,0,1
56,gad,SVC1,2,0,0,1,0,1
57,gad,kNN5,2,0,0,1,0,1
58,gad,RF,2,0,0,1,0,1
59,gad,XG,2,0,0,1,0,1
60,gad,NB,3,0,0,1,0,1
61,gad,LR1,3,0,0,1,0,1
62,gad,SVC1,3,0,0,1,0,1
63,gad,kNN5,3,0,0,1,0,1
64,gad,RF,3,0,0,1,0,1
65,gad,XG,3,0,0,1,0,1
66,gad,NB,4,0,0,1,0,1
67,gad,LR1,4,0,0,1,0,1
68,gad,SVC1,4,0,0,1,0,1
69,gad,kNN5,4,0,0,1,0,1
70,gad,RF,4,0,0,1,0,1
71,gad,XG,4,0,0,1,0,1
72,gad,NB,5,0,0,1,0,1
73,gad,LR1,5,0,0,1,0,1
74,gad,SVC1,5,0,0,1,0,1
75,gad,kNN5,5,0,0,1,0,1
76,gad,RF,5,0,0,1,0,1
77,gad,XG,5,0,0,1,0,1
78,gad,NB,6,0,0,1,0,1
79,gad,LR1,6,0,0,1,0,1
80,gad,SVC1,6,0,0,1,0,1
81,gad,kNN5,6,0,0,1,0,1
82,gad,RF,6,0,0,1,0,1
83,gad,XG,6,0,0,1,0,1
84,gad,NB,7,0,0,1,0,1
85,gad,LR1,7,0,0,1,0,1
86,gad,SVC1,7,0,0,1,0,1
87,gad,kNN5,7,0,0,1,0,1
88,gad,RF,7,0,0,1,0,1
89,gad,XG,7,0,0,1,0,1
90,gad,NB,8,0,0,1,0,1
91,gad,LR1,8,0,0,1,0,1
92,gad,SVC1,8,0,0,1,0,1
93,gad,kNN5,8,0,0,1,0,1
94,gad,RF,8,0,0,1,0,1
95,gad,XG,8,0,0,1,0,1
96,gad,NB,1,1,0,0,0,2
97,gad,LR1,1,1,0,0,0,2
98,gad,SVC1,1,1,0,0,0,2
99,gad,kNN5,1,0,0,0,1,2
100,gad,RF,1,0,0,0,1,2
101,gad,XG,1,0,0,0,1,2
102,gad,NB,2,0,0,0,1,2
103,gad,LR1,2,0,0,0,1,2
104,gad,SVC1,2,0,0,0,1,2
105,gad,kNN5,2,0,0,0,1,2
106,gad,RF,2,0,0,0,1,2
107,gad,XG,2,0,0,0,1,2
108,gad,NB,3,1,0,0,0,2
109,gad,LR1,3,0,0,0,1,2
110,gad,SVC1,3,0,0,0,1,2
111,gad,kNN5,3,0,0,0,1,2
112,gad,RF,3,0,0,0,1,2
113,gad,XG,3,0,0,0,1,2
114,gad,NB,4,1,0,0,0,2
115,gad,LR1,4,0,0,0,1,2
116,gad,SVC1,4,0,0,0,1,2
117,gad,kNN5,4,0,0,0,1,2
118,gad,RF,4,0,0,0,1,2
119,gad,XG,4,0,0,0,1,2
120,gad,NB,5,1,0,0,0,2
121,gad,LR1,5,0,0,0,1,2
122,gad,SVC1,5,0,0,0,1,2
123,gad,kNN5,5,0,0,0,1,2
124,gad,RF,5,0,0,0,1,2
125,gad,XG,5,0,0,0,1,2
126,gad,NB,6,1,0,0,0,2
127,gad,LR1,6,0,0,0,1,2
128,gad,SVC1,6,0,0,0,1,2
129,gad,kNN5,6,0,0,0,1,2
130,gad,RF,6,0,0,0,1,2
131,gad,XG,6,1,0,0,0,2
132,gad,NB,7,1,0,0,0,2
133,gad,LR1,7,0,0,0,1,2
134,gad,SVC1,7,0,0,0,1,2
135,gad,kNN5,7,0,0,0,1,2
136,gad,RF,7,0,0,0,1,2
137,gad,XG,7,1,0,0,0,2
138,gad,NB,8,1,0,0,0,2
139,gad,LR1,8,0,0,0,1,2
140,gad,SVC1,8,0,0,0,1,2
141,gad,kNN5,8,0,0,0,1,2
142,gad,RF,8,0,0,0,1,2
143,gad,XG,8,0,0,0,1,2
144,gad,NB,1,0,0,1,0,3
145,gad,LR1,1,0,0,1,0,3
146,gad,SVC1,1,0,0,1,0,3
147,gad,kNN5,1,0,0,1,0,3
148,gad,RF,1,0,0,1,0,3
149,gad,XG,1,0,0,1,0,3
150,gad,NB,2,0,0,1,0,3
151,gad,LR1,2,0,0,1,0,3
152,gad,SVC1,2,0,0,1,0,3
153,gad,kNN5,2,0,0,1,0,3
154,gad,RF,2,0,0,1,0,3
155,gad,XG,2,0,0,1,0,3
156,gad,NB,3,0,0,1,0,3
157,gad,LR1,3,0,0,1,0,3
158,gad,SVC1,3,0,0,1,0,3
159,gad,kNN5,3,0,0,1,0,3
160,gad,RF,3,0,0,1,0,3
161,gad,XG,3,0,0,1,0,3
162,gad,NB,4,0,0,1,0,3
163,gad,LR1,4,0,0,1,0,3
164,gad,SVC1,4,0,0,1,0,3
165,gad,kNN5,4,0,0,1,0,3
166,gad,RF,4,0,1,0,0,3
167,gad,XG,4,0,1,0,0,3
168,gad,NB,5,0,0,1,0,3
169,gad,LR1,5,0,0,1,0,3
170,gad,SVC1,5,0,0,1,0,3
171,gad,kNN5,5,0,0,1,0,3
172,gad,RF,5,0,1,0,0,3
173,gad,XG,5,0,1,0,0,3
174,gad,NB,6,0,0,1,0,3
175,gad,LR1,6,0,0,1,0,3
176,gad,SVC1,6,0,0,1,0,3
177,gad,kNN5,6,0,0,1,0,3
178,gad,RF,6,0,1,0,0,3
179,gad,XG,6,0,0,1,0,3
180,gad,NB,7,0,0,1,0,3
181,gad,LR1,7,0,0,1,0,3
182,gad,SVC1,7,0,0,1,0,3
183,gad,kNN5,7,0,0,1,0,3
184,gad,RF,7,0,1,0,0,3
185,gad,XG,7,0,0,1,0,3
186,gad,NB,8,0,0,1,0,3
187,gad,LR1,8,0,0,1,0,3
188,gad,SVC1,8,0,0,1,0,3
189,gad,kNN5,8,0,0,1,0,3
190,gad,RF,8,0,1,0,0,3
191,gad,XG,8,0,1,0,0,3
192,gad,NB,1,0,0,1,0,4
193,gad,LR1,1,0,0,1,0,4
194,gad,SVC1,1,0,0,1,0,4
195,gad,kNN5,1,0,1,0,0,4
196,gad,RF,1,0,1,0,0,4
197,gad,XG,1,0,1,0,0,4
198,gad,NB,2,0,0,1,0,4
199,gad,LR1,2,0,0,1,0,4
200,gad,SVC1,2,0,0,1,0,4
201,gad,kNN5,2,0,1,0,0,4
202,gad,RF,2,0,1,0,0,4
203,gad,XG,2,0,1,0,0,4
204,gad,NB,3,0,0,1,0,4
205,gad,LR1,3,0,0,1,0,4
206,gad,SVC1,3,0,0,1,0,4
207,gad,kNN5,3,0,1,0,0,4
208,gad,RF,3,0,1,0,0,4
209,gad,XG,3,0,1,0,0,4
210,gad,NB,4,0,1,0,0,4
211,gad,LR1,4,0,1,0,0,4
212,gad,SVC1,4,0,1,0,0,4
213,gad,kNN5,4,0,1,0,0,4
214,gad,RF,4,0,1,0,0,4
215,gad,XG,4,0,1,0,0,4
216,gad,NB,5,0,1,0,0,4
217,gad,LR1,5,0,1,0,0,4
218,gad,SVC1,5,0,1,0,0,4
219,gad,kNN5,5,0,1,0,0,4
220,gad,RF,5,0,1,0,0,4
221,gad,XG,5,0,0,1,0,4
222,gad,NB,6,0,1,0,0,4
223,gad,LR1,6,0,1,0,0,4
224,gad,SVC1,6,0,1,0,0,4
225,gad,kNN5,6,0,1,0,0,4
226,gad,RF,6,0,1,0,0,4
227,gad,XG,6,0,1,0,0,4
228,gad,NB,7,0,0,1,0,4
229,gad,LR1,7,0,1,0,0,4
230,gad,SVC1,7,0,1,0,0,4
231,gad,kNN5,7,0,1,0,0,4
232,gad,RF,7,0,1,0,0,4
233,gad,XG,7,0,1,0,0,4
234,gad,NB,8,0,0,1,0,4
235,gad,LR1,8,0,1,0,0,4
236,gad,SVC1,8,0,1,0,0,4
237,gad,kNN5,8,0,1,0,0,4
238,gad,RF,8,0,1,0,0,4
239,gad,XG,8,0,1,0,0,4
240,gad,NB,1,0,0,1,0,5
241,gad,LR1,1,0,0,1,0,5
242,gad,SVC1,1,0,0,1,0,5
243,gad,kNN5,1,0,0,1,0,5
244,gad,RF,1,0,0,1,0,5
245,gad,XG,1,0,0,1,0,5
246,gad,NB,2,0,0,1,0,5
247,gad,LR1,2,0,0,1,0,5
248,gad,SVC1,2,0,0,1,0,5
249,gad,kNN5,2,0,0,1,0,5
250,gad,RF,2,0,0,1,0,5
251,gad,XG,2,0,0,1,0,5
252,gad,NB,3,0,0,1,0,5
253,gad,LR1,3,0,0,1,0,5
254,gad,SVC1,3,0,0,1,0,5
255,gad,kNN5,3,0,0,1,0,5
256,gad,RF,3,0,0,1,0,5
257,gad,XG,3,0,0,1,0,5
258,gad,NB,4,0,0,1,0,5
259,gad,LR1,4,0,0,1,0,5
260,gad,SVC1,4,0,0,1,0,5
261,gad,kNN5,4,0,0,1,0,5
262,gad,RF,4,0,0,1,0,5
263,gad,XG,4,0,0,1,0,5
264,gad,NB,5,0,0,1,0,5
265,gad,LR1,5,0,0,1,0,5
266,gad,SVC1,5,0,0,1,0,5
267,gad,kNN5,5,0,0,1,0,5
268,gad,RF,5,0,0,1,0,5
269,gad,XG,5,0,0,1,0,5
270,gad,NB,6,0,0,1,0,5
271,gad,LR1,6,0,0,1,0,5
272,gad,SVC1,6,0,0,1,0,5
273,gad,kNN5,6,0,0,1,0,5
274,gad,RF,6,0,0,1,0,5
275,gad,XG,6,0,0,1,0,5
276,gad,NB,7,0,0,1,0,5
277,gad,LR1,7,0,0,1,0,5
278,gad,SVC1,7,0,0,1,0,5
279,gad,kNN5,7,0,0,1,0,5
280,gad,RF,7,0,0,1,0,5
281,gad,XG,7,0,0,1,0,5
282,gad,NB,8,0,0,1,0,5
283,gad,LR1,8,0,0,1,0,5
284,gad,SVC1,8,0,0,1,0,5
285,gad,kNN5,8,0,0,1,0,5
286,gad,RF,8,0,0,1,0,5
287,gad,XG,8,0,0,1,0,5
288,gad,NB,1,0,0,1,0,6
289,gad,LR1,1,0,0,1,0,6
290,gad,SVC1,1,0,0,1,0,6
291,gad,kNN5,1,0,0,1,0,6
292,gad,RF,1,0,0,1,0,6
293,gad,XG,1,0,0,1,0,6
294,gad,NB,2,0,0,1,0,6
295,gad,LR1,2,0,0,1,0,6
296,gad,SVC1,2,0,1,0,0,6
297,gad,kNN5,2,0,1,0,0,6
298,gad,RF,2,0,0,1,0,6
299,gad,XG,2,0,0,1,0,6
300,gad,NB,3,0,0,1,0,6
301,gad,LR1,3,0,0,1,0,6
302,gad,SVC1,3,0,1,0,0,6
303,gad,kNN5,3,0,0,1,0,6
304,gad,RF,3,0,0,1,0,6
305,gad,XG,3,0,0,1,0,6
306,gad,NB,4,0,0,1,0,6
307,gad,LR1,4,0,0,1,0,6
308,gad,SVC1,4,0,1,0,0,6
309,gad,kNN5,4,0,0,1,0,6
310,gad,RF,4,0,0,1,0,6
311,gad,XG,4,0,0,1,0,6
312,gad,NB,5,0,0,1,0,6
313,gad,LR1,5,0,0,1,0,6
314,gad,SVC1,5,0,1,0,0,6
315,gad,kNN5,5,0,0,1,0,6
316,gad,RF,5,0,0,1,0,6
317,gad,XG,5,0,1,0,0,6
318,gad,NB,6,0,0,1,0,6
319,gad,LR1,6,0,0,1,0,6
320,gad,SVC1,6,0,1,0,0,6
321,gad,kNN5,6,0,1,0,0,6
322,gad,RF,6,0,0,1,0,6
323,gad,XG,6,0,1,0,0,6
324,gad,NB,7,0,0,1,0,6
325,gad,LR1,7,0,0,1,0,6
326,gad,SVC1,7,0,1,0,0,6
327,gad,kNN5,7,0,1,0,0,6
328,gad,RF,7,0,0,1,0,6
329,gad,XG,7,0,1,0,0,6
330,gad,NB,8,0,0,1,0,6
331,gad,LR1,8,0,0,1,0,6
332,gad,SVC1,8,0,1,0,0,6
333,gad,kNN5,8,0,1,0,0,6
334,gad,RF,8,0,0,1,0,6
335,gad,XG,8,0,1,0,0,6
336,gad,NB,1,1,0,0,0,7
337,gad,LR1,1,1,0,0,0,7
338,gad,SVC1,1,1,0,0,0,7
339,gad,kNN5,1,1,0,0,0,7
340,gad,RF,1,1,0,0,0,7
341,gad,XG,1,1,0,0,0,7
342,gad,NB,2,1,0,0,0,7
343,gad,LR1,2,1,0,0,0,7
344,gad,SVC1,2,0,0,0,1,7
345,gad,kNN5,2,0,0,0,1,7
346,gad,RF,2,0,0,0,1,7
347,gad,XG,2,0,0,0,1,7
348,gad,NB,3,0,0,0,1,7
349,gad,LR1,3,1,0,0,0,7
350,gad,SVC1,3,0,0,0,1,7
351,gad,kNN5,3,0,0,0,1,7
352,gad,RF,3,0,0,0,1,7
353,gad,XG,3,0,0,0,1,7
354,gad,NB,4,1,0,0,0,7
355,gad,LR1,4,1,0,0,0,7
356,gad,SVC1,4,0,0,0,1,7
357,gad,kNN5,4,0,0,0,1,7
358,gad,RF,4,0,0,0,1,7
359,gad,XG,4,0,0,0,1,7
360,gad,NB,5,1,0,0,0,7
361,gad,LR1,5,1,0,0,0,7
362,gad,SVC1,5,0,0,0,1,7
363,gad,kNN5,5,0,0,0,1,7
364,gad,RF,5,0,0,0,1,7
365,gad,XG,5,0,0,0,1,7
366,gad,NB,6,1,0,0,0,7
367,gad,LR1,6,1,0,0,0,7
368,gad,SVC1,6,0,0,0,1,7
369,gad,kNN5,6,0,0,0,1,7
